Day,Day post_inf,RFP 1,RFP 2,RFP 3,RFP 4,Hybrid1,Hybrid 2,Hybrid 3,Hybrid 4,Perm1,Perm2,Perm3,Perm4,Ctrl_RFP1,Ctrl_RFP2,Ctrl_RFP3,Ctrl_RFP4,Ctrl_Hyb1,Ctrl_Hyb2,Ctrl_Hyb3,Ctrl_Hyb4,Ctrl_Perm1,Ctrl_Perm2,Ctrl_Perm3,Ctrl_Perm4,Species
1,3 days,8,10,10,8,13,12,13,11,5,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
1.5,3 days,1,1,0,2,6,0,3,6,0,0,0,0,0,2,2,3,3,0,1,0,0,0,0,0,An.coluzzii
2,3 days,4,1,1,3,6,4,8,0,1,0,0,1,1,0,1,3,2,4,2,0,0,0,0,0,An.coluzzii
2.5,3 days,2,1,1,4,1,5,0,8,0,0,0,0,2,3,2,3,1,4,0,3,0,0,0,0,An.coluzzii
3,3 days,6,2,1,4,1,1,0,0,0,0,0,0,4,0,2,2,4,1,6,2,0,0,0,0,An.coluzzii
3.5,3 days,1,0,1,1,0,1,2,1,1,0,0,0,3,4,1,1,2,2,2,1,0,0,0,0,An.coluzzii
4,3 days,0,8,2,1,0,1,1,1,0,0,0,2,2,3,0,2,0,2,1,3,0,0,0,0,An.coluzzii
4.5,3 days,1,1,1,0,0,2,0,2,0,0,0,0,0,5,1,2,0,8,0,4,0,0,0,0,An.coluzzii
5,3 days,0,0,2,1,1,0,0,1,0,0,0,0,1,2,3,3,3,4,6,1,0,0,0,0,An.coluzzii
5.5,3 days,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,7,6,0,0,0,0,An.coluzzii
6,3 days,3,0,0,0,1,2,0,0,0,0,0,0,2,1,1,0,9,1,0,1,0,0,0,0,An.coluzzii
6.5,3 days,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,4,1,0,0,0,0,An.coluzzii
